NodeNo	x	y	T	qx	qy
185	0.281250	0.031250	77.569148	728.788521	-3436.030560
186	0.250000	0.062500	78.220462	647.859122	-3524.053844
187	0.281250	0.093750	78.669560	735.107500	-3606.609036
188	0.218750	0.093750	78.872631	566.112684	-3609.776313
189	0.343750	0.093750	78.412918	909.286004	-3602.156489
190	0.312500	0.125000	79.118077	822.994420	-3691.769804
191	0.187500	0.125000	79.525208	483.861057	-3693.401211
192	0.343750	0.031250	77.314758	901.102178	-3426.066859
193	0.406250	0.031250	77.005657	1079.170661	-3413.736866
194	0.375000	0.062500	77.708568	994.765902	-3509.507759
195	0.468750	0.031250	76.639944	1263.587043	-3398.835583
196	0.406250	0.093750	78.100940	1089.505585	-3596.073039
197	0.218750	0.156250	80.026776	566.593050	-3776.751158
198	0.156250	0.156250	80.177830	428.269448	-3802.407513
199	0.281250	0.156250	79.823476	736.203384	-3778.452496
200	0.250000	0.187500	80.528616	649.270179	-3862.340011
201	0.343750	0.156250	79.566358	911.380106	-3779.858893
202	0.281250	0.218750	81.031134	731.697210	-3950.558895
203	0.218750	0.218750	81.233080	589.394353	-3971.710160
204	0.531250	0.031250	76.215564	1454.705214	-3381.128264
205	0.500000	0.062500	76.972484	1366.286835	-3486.277066
206	0.531250	0.093750	77.302805	1470.434357	-3577.214792
207	0.468750	0.093750	77.731626	1276.420819	-3587.929609
208	0.593750	0.093750	76.812226	1671.645093	-3563.346337
209	0.562500	0.125000	77.631231	1576.155410	-3671.781566
210	0.437500	0.125000	78.492221	1185.272216	-3686.007457
211	0.593750	0.156250	77.958081	1683.665582	-3770.123591
212	0.531250	0.156250	78.451813	1478.875992	-3776.439313
213	0.500000	0.187500	79.273097	1380.010516	-3877.069047
214	0.468750	0.156250	78.882799	1282.079685	-3779.574216
215	0.531250	0.218750	79.663572	1479.227994	-3978.818468
216	0.468750	0.218750	80.094208	1279.857764	-3973.446240
217	0.406250	0.156250	79.253522	1093.083584	-3780.450735
218	0.656250	0.156250	77.399112	1896.259703	-3759.596626
219	0.625000	0.187500	78.283659	1793.277860	-3872.405135
220	0.656250	0.218750	78.608238	1905.415543	-3978.805379
221	0.593750	0.218750	79.169209	1687.770020	-3981.092692
222	0.718750	0.218750	77.977875	2131.594296	-3970.367687
223	0.687500	0.250000	78.932043	2020.626146	-4089.520794
224	0.562500	0.250000	80.054700	1579.987018	-4085.186681
225	0.375000	0.187500	80.014819	1000.167569	-3871.227544
226	0.406250	0.218750	80.463946	1089.307988	-3966.260177
227	0.343750	0.218750	80.775451	906.898672	-3958.340256
228	0.437500	0.250000	80.914292	1178.806781	-4065.383923
